-7.749,1002.671
-7.369,1002.572
-5.374,1002.693
-4.827,1002.73
-1.822,1002.726
0,1002.683
2.545,1002.645
2.85,1002.614
5.223,1002.518
6.299,1002.628
6.735,1002.462
8.821,1002.365
chainage,480.0
-10.028,1002.309
-6.88,1002.52
-6.49,1002.554
-3.127,1002.535
0,1002.436
0.537,1002.387
2.208,1002.292
4.773,1002.151
330.815,1005.966
334.836,1006.678
336.423,1007.213
337.48,1007.329
340.649,1007.535
342.37,1007.576
chainage,500.0
-13.172,1002.158
-9.32,1002.389
-7.818,1002.489
-4.55,1002.463
-1.368,1002.367
-1.121,1002.291
0,1002.273
1.543,1002.187
5.497,1002.157
11.454,1002.203
chainage,520.0
-13.158,1002.433
-8.877,1002.478
-8.202,1002.515
-5.213,1002.493
-2.058,1002.388
-1.733,1002.351
0,1002.241
0.439,1002.214
3.066,1002.323
4.149,1002.259
5.196,1002.33
6.11,1002.542
7.189,1002.679
chainage,540.0
-12.191,1002.439
-8.42,1002.471
-8.203,1002.503
-5.12,1002.472
-1.647,1002.359
-1.497,1002.337
0,1002.237
1.563,1002.14
3.936,1002.244
5.487,1002.363
7.504,1001.783
8.761,1001.185
10.873,1001.843
chainage,550.0
-13.225,1002.338
-12.946,1002.325
-8.155,1002.391
-8.112,1002.38
-7.935,1002.439
-7.678,1002.437
-7.672,1002.436
-4.897,1002.442
-1.436,1002.329
-1.352,1002.32
-1.206,1002.283
-0.006,1002.229
0,1002.235
1.91,1002.219
1.951,1002.227
2.663,1002.498
2.902,1002.464
3.117,1002.468
3.6,1002.675
3.691,1002.662
3.955,1002.693
4.108,1002.629
5.057,1002.376
5.094,1002.37
7.115,1002.277
9.293,1002.256
12.873,1002.26
13.311,1002.228
