n,D,Hs,c1,t,p1_diameter(mm),p1_n,p1_distance(cm),p1_L(m),p1_sh_i1,p1_sh_i2,p1_sh_i3,p1_sh_i4,p2_diameter(mm),p2_n,p2_distance(cm),p2_L(m),p2_sh_i1,p2_sh_i2,p2_sh_i3,p2_sh_i4,p3_diameter(mm),p3_n,p3_distance(cm),p3_L(m),p3_sh_i1,p4_diameter(mm),p4_n,p4_distance(cm),p4_L(m),p4_sh_i1,p4_sh_i2,p5_diameter(mm),p5_n,p5_distance(cm),p5_L(m),p5_sh_i1,p6_diameter(mm),p6_n,p6_distance(cm),p6_L(m),p6_sh_i1,p7_diameter(mm),p7_n,p7_distance(cm),p7_L(m),p7_sh_i1,p7_sh_i2,p7_sh_i3,p7_sh_i4,p8_diameter(mm),p8_n,p8_distance(cm),p8_L(m),p8_sh_i1,p9_diameter(mm),p9_n,p9_distance(cm),p9_L(m),p9_sh_i1,p9_sh_i2,p9_sh_i3,p9_sh_i4,p9_sh_i5,p0_diameter(mm),p0_n,p0_distance(cm),p0_L(m),p0_sh_i1,p0_sh_i2,p0_sh_i3,wight(kg/m),weight(kg)(start-end)
1,3,"(0.25, 0.60)",0.3,0.3,20,3.85,26,4.1,27,26,27,303,20,3.85,26,4.1,27,303,27,26,14,17,20,1,100,10,3.85,26,3.8,15,350,10,14,27,1,100,10,8*2,-,1,100,10,3.3*2,30,2.44,22,50,50,22,10,3*2,-,3.5,350,10,11.6*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,135.84,20.61
1,3,"(0.60, 2.00)",0.3,0.3,16,4,25,3.96,20,26,27,303,16,4,25,3.96,20,303,27,26,10,13,29.2,1,100,10,4,25,3.8,15,350,10,13,29.2,1,100,10,8*2,-,1,100,10,3.3*2,30,2.44,22,50,50,22,10,3*2,-,3.5,350,10,11.6*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,95.22,20.61
1,3,"(2.00, 4.00)",0.3,0.35,18,4,25,4.03,22,24,33,302,18,4,25,4.03,22,302,33,24,10,15,25.4,1,100,10,4,25,3.8,15,350,10,15,25.4,1,100,10,8*2,-,1,100,10,3.3*2,30,2.54,22,55,50,22,10,3*2,-,3.5,350,10,11.6*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,122.51,20.61
1,3,"(4.00, 6.00)",0.3,0.4,20,4,25,4.09,25,21,40,298,20,4,25,4.09,25,298,40,21,10,17,22.5,1,100,10,4,25,3.8,15,350,10,17,22.5,1,100,10,8*2,-,1,100,10,3.3*2,30,2.64,22,60,50,22,10,3*2,-,3.5,350,10,11.6*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,131.61,20.61
1,4,"(0.00, 0.25)",0.4,0.4,22,3.1,32,5.34,27,35,42,403,22,3.1,32,5.34,27,403,42,35,14,21,23,1,100,12,3.1,32,5,15,470,12,17,29,1,100,10,8*2,-,1,100,10,3.3*2,30,2.84,22,60,60,22,10,3*2,-,4.7,470,10,15.6*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,174.44,37.99
1,4,"(0.25, 0.60)",0.4,0.4,22,3.33,30,5.34,27,35,42,403,22,3.33,30,5.34,27,403,42,35,14,21,23,1,100,12,3.33,30,5,15,470,12,17,29,1,100,10,8*2,-,1,100,10,3.3*2,30,2.84,22,60,60,22,10,3*2,-,4.7,470,10,15.6*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,182.8,37.99
1,4,"(0.60, 2.00)",0.4,0.4,20,3.33,30,5.3,25,35,42,403,20,3.33,30,5.3,25,403,42,35,10,23,21.4,1,100,12,3.33,30,5,15,470,10,23,21.4,1,100,10,8*2,-,1,100,10,3.3*2,30,2.84,22,60,60,22,10,3*2,-,4.7,470,10,15.6*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,151.63,37.99
1,4,"(2.00, 4.00)",0.4,0.45,22,3.33,30,5.36,27,33,49,400,22,3.33,30,5.36,27,400,49,33,10,26,19,1,100,14,3.33,30,5,15,470,10,26,19,1,100,10,8*2,-,1,100,10,3.3*2,30,2.94,22,65,60,22,10,3*2,-,4.7,470,10,15.6*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,180.55,37.99
1,4,"(4.00, 6.00)",0.4,0.5,22,4.17,24,5.38,27,30,56,398,22,4.17,24,5.38,27,398,56,30,12,20,25.3,1,100,12,4.17,24,5,15,470,12,20,25.3,1,100,10,8*2,-,1,100,10,3.3*2,30,3.04,22,70,60,22,10,3*2,-,4.7,470,10,15.6*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,195.59,37.99
1,5,"(0.00, 0.25)",0.4,0.45,22,3.57,28,6.36,27,35,49,498,22,3.57,28,6.36,27,498,49,35,14,25,24,1,100,12,3.57,28,6,15,570,12,21,28.8,1,100,10,8*2,-,1,100,10,3.3*2,30,2.94,22,65,60,22,10,3*2,-,5.7,570,10,19*2,30,1.07,20,40,7,15,25,14,3.3*2,30,1.5,65,65,20,237.21,46.18
1,5,"(0.25, 0.60)",0.4,0.45,22,4,25,6.36,27,35,49,498,22,4,25,6.36,27,498,49,35,14,27,22,1,100,12,4,25,6,15,570,12,21,28.8,1,100,10,8*2,-,1,100,10,3.3*2,30,2.94,22,65,60,22,10,3*2,-,5.7,570,10,19*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,246.24,46.18
1,5,"(0.60, 1.00)",0.4,0.4,22,3.33,30,6.36,27,35,49,498,20,3.33,30,6.36,27,498,49,35,12,21,28.8,1,100,14,3.33,30,6.04,17,570,12,21,28.8,1,100,10,8*2,-,1,100,10,3.3*2,30,2.94,22,65,60,22,10,3*2,-,5.7,570,10,19*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,209.83,46.18
1,5,"(1.00, 2.00)",0.4,0.45,22,3.85,26,6.36,27,35,49,498,22,3.85,26,6.36,27,498,49,35,12,21,28.8,1,100,14,3.85,26,6.04,17,570,12,21,28.8,1,100,10,8*2,-,1,100,10,3.3*2,30,3.04,22,70,60,22,10,3*2,-,5.7,570,10,19*2,30,1.07,20,40,7,15,25,-,-,-,-,-,-,-,233.32,46.18
