No,Distance,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,CL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,end
392,113672.48,,,,,,,,,,,,,,,,,,,,,,,,20,18.1,17.17,13.53,11.07,11.04,10.86,10.56,10.46,10.31,9.95,8.52,6.04,5,3.98,0,0.44,0.47,3.84,5.48,5.51,5.76,7.29,15.77,15.82,16.66,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1377.59,1377.536,1377.465,1377.195,1377.115,1377.099,1376.043,1376.053,1376.126,1376.029,1376.055,1376.344,1376.399,1376.16,1376.003,1375.62,1375.522,1375.441,1375.293,1375.127,1375.11,1375.051,1375.085,1375.097,1374.992,1374.868,1374.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,113680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.22,18.8,17.16,12.77,11.31,8.29,8.05,7.63,0,0.31,0.65,7.24,8.57,13.32,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.63,1377.548,1377.542,1377.477,1377.16,1377.047,1376.115,1376.121,1376.094,1376.482,1376.191,1376.212,1375.967,1375.908,1375.717,1375.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,113687.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.37,17.15,16.67,16.18,16.07,12.51,10.71,9.82,7.08,1.65,0,0.32,0.34,0.83,2.24,4.27,5.64,9.41,10.75,11.8,13.49,18.24,19.02,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.611,1377.518,1377.471,1377.464,1377.409,1377.24,1376.97,1376.938,1377.027,1376.391,1376.057,1375.847,1375.449,1375.539,1375.394,1375.441,1375.329,1375.522,1375.428,1375.073,1375.223,1375.287,1374.869,1374.792,1374.969,,,,,,,,,,,,,,,,,,,,,,,,,,
395,113692.55,,,,,,,,,,,,,,,,,,,,,,20,17.02,17.01,16.91,16.24,16.15,14.76,14.01,13.49,12.18,12.12,12.1,11.94,6.92,6.21,6.18,5.91,0,3.27,4.27,4.29,5.85,10.08,13.88,14.6,15.3,18.53,19.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1377.627,1377.53,1377.547,1377.439,1377.156,1376.663,1376.492,1377.239,1377.257,1377.228,1377.269,1377.262,1376.437,1376.395,1376.415,1376.401,1376.377,1376.41,1376.029,1375.965,1376.032,1375.914,1375.711,1375.627,1375.671,1375.626,1375.239,1375.224,1375.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,113700.67,,,,,,,,,,,,,,,,,,,,,,20,16.95,16.81,16.81,16.8,15.79,15.27,14.16,12.07,10.83,10.58,8.94,8.76,6.5,5.69,1.68,0.23,0,1.43,4.46,6.05,6.62,7.57,9.9,10.35,10.45,10.76,10.81,11.03,11.15,12,14.12,14.33,15.85,16.62,18.58,19.23,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1377.645,1377.478,1377.557,1377.45,1377.423,1377.18,1377.236,1376.691,1376.856,1376.506,1376.474,1376.267,1376.491,1375.919,1375.828,1375.695,1375.789,1375.89,1375.737,1375.868,1375.373,1375.398,1375.266,1374.982,1374.933,1374.994,1375.448,1375.247,1375.743,1375.709,1375.677,1375.514,1375.518,1375.174,1375.113,1375.108,1375.054,1374.933,,,,,,,,,,,,,,,,,,,
397,113706.4,,,,,,,,,,,,,,,,,,,,,,,,20,18.57,16.82,16.81,16.6,14.97,14.82,11.82,10.25,9.82,7.57,5.47,4.96,4.45,1.96,0,0.27,0.57,8.05,8.92,9.08,9.31,9.72,12.48,14.86,16.09,17.32,17.86,18.64,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1377.966,1377.906,1377.576,1377.542,1376.788,1376.453,1376.616,1376.704,1376.452,1376.379,1376.316,1376.275,1376.519,1376.422,1376.422,1376.524,1376.267,1376.238,1375.984,1375.925,1375.879,1375.9,1375.923,1375.823,1375.738,1375.697,1375.565,1375.481,1375.459,1375.391,,,,,,,,,,,,,,,,,,,,,,,,,
398,113713.69,,,,,,,,,,,,,,,,,,,,,20,18.76,16.83,16.82,16.6,16.08,15.46,13.46,12.54,11.21,10.09,9.48,7.75,4.68,3.2,0.88,0.38,0.29,0,0.65,2.03,2.41,4.38,4.97,7.09,7.42,7.79,8.18,9.47,15.11,16.73,16.77,19.37,20,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1377.973,1377.89,1377.602,1377.56,1376.875,1377.539,1377.548,1377.556,1377.549,1377.24,1376.968,1377.005,1376.843,1376.62,1376.461,1376.405,1376.301,1376.425,1376.614,1376.246,1376.363,1376.375,1376.269,1376.214,1376.089,1376.054,1376.06,1375.971,1375.887,1375.722,1375.532,1375.507,1375.627,1375.553,,,,,,,,,,,,,,,,,,,,,,,,
399,113720,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.3,16.83,16.82,16.65,16.26,14.58,12.64,10.53,8.85,7.99,6,0.61,0,1.07,7.48,8.17,8.36,12.23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.892,1377.883,1377.676,1377.544,1377.022,1377.56,1377.529,1377.497,1377.348,1376.963,1376.96,1376.802,1376.636,1376.83,1376.341,1376.196,1376.205,1376.205,1376.049,1375.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,113733.71,,,,,,,,,,,,,,,,,,,,,,,,,20,17.3,16.83,16.83,16.77,16.65,15.58,13.99,13.56,11.93,11.34,11.24,10.38,0.44,0,2.53,5.57,5.89,6.77,11.04,11.69,14.59,17.68,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1377.781,1377.768,1377.596,1377.576,1377.49,1377.578,1377.607,1377.687,1377.631,1377.366,1377.403,1377.383,1377.301,1376.716,1376.924,1376.839,1376.563,1376.457,1376.413,1376.166,1376.081,1376.145,1376.009,1375.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,113739.6,,,,,,,,,,,,,,,,,,,,,,,,,20,16.87,16.83,16.83,16.82,16.81,16.73,16.6,13.61,13.16,9.27,8.61,2.95,2.32,0,0.32,3.41,4.59,5.08,7.63,9.84,12.63,16.12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1377.743,1377.666,1377.65,1377.618,1377.634,1377.668,1377.608,1377.639,1377.672,1377.66,1377.26,1377.311,1377.025,1376.989,1376.733,1376.517,1376.466,1376.644,1376.608,1376.551,1376.505,1376.314,1376.02,1375.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,113747.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.35,16.79,15.25,13.66,13.13,11.05,8.54,5.25,1.06,0,0.36,5.43,5.61,5.66,16.24,16.58,16.99,17.77,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.729,1377.662,1377.618,1377.588,1377.586,1377.54,1377.29,1376.874,1376.944,1376.867,1377.02,1376.717,1376.488,1376.554,1376.502,1375.995,1375.887,1375.876,1375.85,1375.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,113760,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.73,14.1,13.63,13.33,13.12,12.75,7.15,6.62,3.34,1.36,0.25,0,1.05,3.35,7.93,8.47,9.95,15.69,19.35,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.709,1377.613,1377.524,1377.48,1377.412,1377.433,1377.343,1376.383,1376.376,1376.151,1376.136,1376.441,1376.691,1376.433,1376.269,1375.986,1375.995,1375.895,1375.696,1375.6,1375.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,113770.7,,,,,,,,,,,,,,,,,,,,,,,20,16.68,15.63,15.44,13.86,13.06,12.82,12.6,9.68,9.51,5.32,5.25,5.09,3.33,2.17,0.76,0,3.85,6.32,6.34,10.54,13.54,18.12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1377.685,1377.527,1377.467,1377.469,1377.46,1377.412,1377.353,1377.338,1376.521,1376.378,1376.385,1376.321,1376.313,1376.359,1376.462,1376.221,1376.493,1376.221,1376.184,1376.171,1375.795,1375.83,1375.675,1375.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,113776.63,,,,,,,,,,,,,,,,,,,,,,20,16.65,16.47,16.44,16.17,16.04,14.08,13.46,12.08,11.15,11.04,9.66,9.54,5.7,5.37,4.95,0.48,0,1.53,6.78,10.6,10.71,10.91,14.58,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1377.61,1377.511,1377.457,1377.524,1377.468,1377.446,1377.373,1377.418,1377.099,1376.87,1376.86,1376.388,1376.296,1376.15,1376.073,1376.168,1376.473,1376.739,1376.351,1376.219,1375.786,1375.76,1375.799,1375.929,1375.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,113800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.54,14.05,13.55,11.47,10.37,9.01,0,3.82,5.11,11.6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.738,1377.583,1377.561,1377.565,1377.043,1376.886,1376.835,1376.789,1376.456,1376.373,1376.018,1375.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,113821.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.45,16.31,14.83,13.99,11.4,11.33,11.3,8.24,0,0.99,1.05,7.39,11.23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.794,1377.667,1377.716,1377.695,1377.589,1377.211,1377.187,1377.22,1377.054,1376.866,1376.554,1376.526,1376.273,1376.135,1375.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,113829.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.49,14.52,13.05,12.04,11.19,5.53,5.53,5.51,0,5.81,5.83,8.93,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.788,1377.761,1377.764,1377.624,1377.493,1377.241,1376.969,1376.999,1377.007,1376.954,1376.422,1376.348,1376.315,1375.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,113840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.81,16.54,16.07,13.61,13.04,11.95,11.07,0,10.53,11.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.878,1377.795,1377.708,1377.733,1377.721,1377.729,1377.543,1377.303,1377.131,1376,1376.118,1375.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,113860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.59,16.44,15.66,12.89,10.24,9.72,9.18,6.29,0,10.33,12.48,12.7,18.45,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.849,1377.719,1377.677,1377.734,1377.665,1377.094,1377.042,1376.935,1376.764,1376.844,1375.636,1376.054,1376.004,1375.608,1375.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,113867.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.36,16.56,13.07,11.6,9.91,9.09,6.21,5.1,5.02,0.28,0,0.35,0.47,1.29,2.73,3.2,4.64,6.21,6.82,6.89,7.69,10.48,13.72,14,14.31,14.49,16.58,18.46,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.806,1377.819,1377.77,1377.531,1377.407,1376.805,1376.436,1376.509,1376.447,1376.354,1376.068,1376.284,1375.976,1375.975,1375.857,1375.857,1375.807,1375.929,1375.854,1375.64,1375.731,1376.074,1375.972,1375.78,1375.527,1375.4,1375.453,1375.519,1375.547,1375.438,,,,,,,,,,,,,,,,,,,,,
412,113876.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.51,13.94,12.32,11.33,10.98,8.44,8.17,7.29,5.57,0.8,0,0.68,1.9,11.12,11.52,11.83,12.07,12.32,17.09,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.876,1377.782,1377.659,1377.23,1377.382,1377.383,1376.561,1376.51,1376.533,1376.656,1376.912,1377.045,1376.671,1376.498,1376.019,1376.088,1376.071,1375.982,1375.992,1375.813,1375.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,113880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.49,16.34,16.18,13.01,11.77,11.27,10.64,8.14,0,2.66,3.4,7.69,9.76,10.73,13.08,13.92,13.98,14.13,14.51,17.26,17.4,18.17,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.972,1377.809,1377.828,1377.842,1377.554,1377.245,1377.359,1377.13,1376.865,1376.728,1376.119,1376.095,1376.149,1376.115,1375.918,1375.733,1375.529,1375.57,1375.601,1375.512,1375.408,1375.351,1375.487,1375.585,,,,,,,,,,,,,,,,,,,,,,,,,
414,113893.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.05,16.43,11.7,11.24,10.68,7.97,7.7,6.29,5.74,4.26,0,3.02,3.04,6.15,9.01,9.63,10.71,16.59,17.04,17.09,17.27,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.107,1378.109,1378.125,1377.993,1377.947,1378.037,1377.875,1377.778,1377.422,1377.384,1377.397,1377.365,1376.911,1376.984,1376.648,1376.798,1376.722,1376.839,1376.314,1376.283,1376.285,1376.291,1376.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,113900,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.74,16.39,15.52,12.63,11.5,9.67,9.46,6.59,6.13,5.92,0,8.46,12.79,14.44,15.15,17.27,17.57,17.96,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.234,1378.154,1378.146,1378.121,1378.094,1377.897,1377.93,1377.931,1377.668,1377.646,1377.582,1377.585,1376.528,1375.98,1375.858,1375.823,1375.627,1375.549,1375.584,1375.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,113909.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.42,16.35,13.86,10.01,9.72,9.52,8.51,6.39,4.03,0.55,0,0.32,8.43,8.61,9.24,9.42,9.75,13.62,16.88,18.23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.262,1378.241,1378.167,1377.966,1377.724,1377.783,1377.673,1377.552,1377.417,1377.132,1377.044,1377.224,1376.96,1376.524,1376.434,1376.41,1376.441,1376.473,1376.392,1376.306,1376.102,1375.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,113920,,,,,,,,,,,,,,,,,,,,,,,,,20,16.28,15.49,14.25,12.23,11.44,10.97,8.87,8.22,8.11,7.02,6.57,4.4,2.65,0,0.24,0.58,4.14,4.68,5.63,8.07,8.18,8.72,12.16,12.29,12.52,12.76,13.75,15.37,15.62,16.69,19.67,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1378.156,1378.049,1378.014,1377.998,1377.925,1377.622,1377.545,1376.82,1376.634,1376.625,1376.557,1376.598,1376.384,1376.268,1376.511,1376.292,1376.283,1376.27,1376.183,1376.183,1375.965,1375.879,1375.804,1376.373,1376.389,1376.496,1376.499,1376.443,1376.28,1376.241,1376.042,1375.789,1376.292,,,,,,,,,,,,,,,,,,,,,
418,113926.42,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.33,16.21,14.79,12.6,12.54,12.18,10.08,8.53,8.44,7.25,2.59,2.59,0,2.75,2.82,3.03,4.09,6.9,7.21,7.31,7.56,12.53,13.97,16.62,16.92,17,17.1,20,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.099,1378.155,1378.069,1378.034,1377.953,1377.906,1377.851,1377.085,1376.518,1376.503,1376.431,1377.021,1377.011,1377.314,1377.16,1377.076,1377.143,1377.11,1377.018,1377.008,1376.995,1377.033,1376.815,1376.607,1376.254,1376.138,1376.189,1376.17,1375.825,,,,,,,,,,,,,,,,,,,,,,,,
419,113932.06,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.14,13.32,13.27,13.27,10.99,10.73,9.36,8.31,6.11,5.97,1.56,0,0.77,2.6,10.3,12.52,16.66,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.079,1378.014,1378.044,1378.041,1378.02,1377.532,1377.413,1377.04,1376.636,1377.081,1377.166,1377.343,1377.593,1377.378,1377.285,1376.97,1376.869,1376.213,1375.975,1375.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,113940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.02,15.8,12.59,12.3,10.3,9.2,5.99,2.61,1.01,0,10.4,12.4,15.27,19.56,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.134,1378.097,1378.071,1377.955,1377.913,1377.384,1377.354,1377.697,1377.694,1377.762,1377.968,1376.922,1376.934,1376.728,1375.905,1375.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,113946.3,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.96,15.96,13.91,12.16,11.7,9.53,8.82,7.83,4.53,3.5,3.06,0,0.31,6.86,7.45,8.86,8.93,9.02,10.47,12.57,17.57,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.212,1378.107,1378.03,1377.996,1377.941,1377.747,1377.18,1376.982,1377.1,1376.887,1376.944,1376.901,1376.847,1376.515,1376.823,1376.796,1376.371,1376.489,1376.397,1376.337,1376.158,1376.212,1376.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,113951.92,,,,,,,,,,,,,,,,,,,,,,,,20,19.89,15.91,12.65,12.21,11.43,10.98,10.79,10.34,9.27,6.88,6.2,6.14,6.11,5.97,0,2.54,3.48,6.14,9.34,9.38,9.4,9.41,11.86,17.68,18.19,18.33,18.67,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1378.249,1378.238,1378.124,1377.904,1377.92,1377.983,1377.561,1377.334,1377.377,1377.248,1377.282,1377.334,1377.373,1377.396,1377.344,1377.289,1376.05,1376.563,1376.266,1376.216,1376.196,1376.192,1376.164,1375.901,1375.542,1375.568,1375.573,1375.622,1375.589,,,,,,,,,,,,,,,,,,,,,,,,,,
423,113960,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.81,15.35,14.2,12.1,10.36,8.99,8.79,7.77,6.15,5.6,4.99,0.28,0,0.23,1.61,1.74,2.08,3.19,3.37,5.93,6.75,6.79,6.84,12.14,13.02,13.04,15.65,19.93,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.266,1378.128,1378.126,1378.128,1377.999,1377.702,1377.532,1377.576,1377.673,1377.485,1377.705,1377.462,1377.519,1377.722,1377.488,1377.875,1377.965,1377.853,1377.535,1377.572,1377.385,1377.326,1377.311,1377.353,1377.044,1376.975,1377.021,1376.79,1376.138,1376.046,,,,,,,,,,,,,,,,,,,,,,,
424,113966.81,,,,,,,,,,,,,,,,,,,,,,,,,20,17.73,15.67,13.76,12.09,9.27,8.17,7.16,6.73,5.59,3.36,2.62,2.42,1.9,0,1.27,2.46,3.66,4.33,4.45,4.93,7.08,8.76,9.36,9.37,12.88,13.15,13.79,15.85,17.93,19.35,19.94,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1378.27,1378.196,1378.167,1378.104,1377.991,1377.804,1377.659,1377.376,1377.408,1377.184,1376.948,1376.977,1376.897,1376.955,1377.433,1377.335,1377.425,1376.933,1376.783,1376.671,1376.707,1376.49,1376.536,1376.485,1376.562,1376.154,1376.077,1375.988,1376.061,1376.003,1375.745,1375.774,1375.745,,,,,,,,,,,,,,,,,,,,,
425,113972.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.8,15.52,12.46,11.67,11.2,8.71,8.3,7,5.46,2.84,0,2.87,4.33,8.19,10.57,13.3,14.91,15.72,17.63,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.391,1378.376,1378.184,1378.028,1377.964,1378.011,1377.69,1377.653,1377.791,1377.7,1377.491,1377.717,1377.453,1377.393,1377.009,1376.941,1376.964,1376.868,1376.554,1376.265,1376.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,113980,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.32,15.12,14.58,10.3,9.18,7.66,6.93,4.99,3.77,2.47,0,0.2,0.21,0.35,2,3.03,6.63,8.66,8.8,11.86,13.65,15.9,17.91,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.444,1378.272,1378.291,1378.146,1377.623,1377.347,1377.116,1377.002,1376.792,1376.71,1376.792,1377.009,1376.855,1376.829,1376.721,1376.538,1376.392,1376.725,1376.744,1376.738,1376.476,1376.485,1376.341,1376.212,1376.056,,,,,,,,,,,,,,,,,,,,,,,,,,
427,113991.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.32,15,13.77,8.25,8.15,6.08,5.55,1.6,0.57,0,0.17,0.92,3.16,3.52,6.53,7.52,10.79,14.5,14.81,15.28,15.29,15.29,15.34,18.9,19.6,19.79,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.613,1378.598,1378.533,1378.403,1377.515,1377.523,1377.358,1377.413,1377.504,1377.654,1377.903,1377.686,1377.66,1377.398,1377.448,1377.344,1377.248,1376.304,1375.774,1375.847,1376.148,1376.246,1376.223,1376.208,1375.72,1375.881,1376.074,1376.076,,,,,,,,,,,,,,,,,,,,,,
428,114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.81,14.72,12.72,9.03,7.72,6.14,3.72,3.65,0,0.3,0.34,3.57,8.13,8.84,9.55,13.1,14.12,14.89,16.63,19.15,19.94,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378.712,1378.582,1378.677,1378.599,1377.948,1377.617,1377.497,1377.171,1377.198,1377.12,1376.862,1376.907,1376.508,1376.527,1376.507,1376.541,1376.173,1376.824,1377.035,1377.188,1376.938,1376.507,1376.53,,,,,,,,,,,,,,,,,,,,,,,,,,
429,114009.8,,,,,,,,,,,,,,,,,,,,,,,,,20,14.69,14.62,14.48,12.84,11.5,11.12,10.27,7.79,6.45,4.48,1.67,1.5,0.68,0,1.21,2.58,3.11,6.15,9.23,16.38,16.9,17.7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1378.82,1378.737,1378.761,1378.788,1378.785,1378.805,1378.758,1378.668,1378.377,1378.277,1377.951,1377.777,1375.184,1375.455,1376.572,1377.79,1378.322,1378.231,1377.734,1377.735,1377.407,1377.4,1377.288,1377.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,114020,,,,,,,,,,,,,,,,,,,,,,,,20,19.47,18.36,18.29,14.52,14.47,14.19,11.48,11.21,10.36,8.49,7.32,6.47,5.55,2.94,0,0.33,0.36,0.42,1.5,2.39,6.34,7.38,9.58,14.84,16.68,18.91,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1379.039,1378.985,1378.957,1378.924,1378.878,1378.867,1378.891,1379.02,1378.954,1378.809,1378.595,1378.495,1378.595,1378.686,1378.753,1378.654,1378.388,1378.386,1378.406,1378.542,1378.755,1377.878,1377.811,1377.792,1377.483,1377.409,1377.19,1377.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,114029.5,,,,,,,,,,,,,,,,,,,,20,19.09,17.43,16.48,16.44,14.32,14.29,13.86,12.39,11.48,10.7,10.63,9.9,8.86,8.81,6.57,4.3,4.13,2.32,0,0.48,1.01,3.86,4.45,7.5,10.69,14.05,14.73,17.28,18.86,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1379.189,1379.087,1379.054,1379.064,1379.058,1378.989,1378.964,1379.026,1379.048,1379.124,1379.072,1379.006,1378.909,1378.612,1378.63,1377.681,1377.71,1377.872,1377.683,1377.691,1377.397,1377.429,1377.23,1377.119,1377.109,1376.994,1376.946,1376.865,1376.505,1376.371,1376.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,114040,,,,,,,,,,,,,,,,,,,,,,,,20,14.71,14.47,14.34,14.33,14.03,14.03,13.45,13.35,13.29,13.23,12.83,12.66,6.54,4.51,0,0.29,0.46,1.62,2.77,6.68,6.71,9.28,9.73,10.92,13.4,14.12,15.7,15.96,16.21,16.69,18.27,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1379.25,1379.141,1379.155,1379.139,1379.09,1379.093,1379.104,1379.183,1379.136,1379.207,1379.196,1378.99,1379.153,1378.445,1378.256,1378.328,1378.042,1378.096,1378.041,1378.125,1377.909,1377.902,1377.471,1377.362,1377.271,1377.015,1376.994,1376.806,1376.779,1376.794,1376.672,1376.867,1376.866,,,,,,,,,,,,,,,,,,,,,,
433,114052,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.28,16.18,14.88,13.5,12.42,11.42,10.09,7.75,5.94,0.85,0,0.64,1.97,3.45,6.81,8.89,10.14,12.08,14.65,15.01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379.354,1379.316,1379.226,1379.358,1379.296,1379.201,1379.172,1379.131,1378.695,1378.427,1378.158,1378.328,1378.086,1378.083,1378.03,1377.849,1377.667,1377.491,1377.353,1377.121,1376.971,1376.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
