No,Distance,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,CL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,end
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457.558,1457.275,1457.02,1456.971,1456.867,1456.824,1456.849,1456.825,1456.838,1456.748,1456.262,1456.201,1456.073,1456.206,1455.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,107800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.51,18.42,18.37,8.93,8.84,0,2.86,5.86,11.27,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457.644,1457.433,1457.448,1457.48,1457.151,1457.069,1457.247,1456.77,1456.905,1456.596,1456.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,107840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.71,16.65,16.42,5.65,5.46,5.14,0,0.74,1.39,1.41,2.98,3.05,10.7,18.01,18.29,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458.209,1458.287,1457.926,1457.829,1457.332,1457.385,1457.355,1457.44,1457.163,1457.2,1457.171,1457.082,1457.11,1456.805,1456.712,1456.717,1456.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,107880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16.79,14.47,14.45,2.06,2.05,0,2.02,10.78,10.79,14.14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458.38,1458.22,1457.804,1457.831,1457.517,1457.527,1457.728,1457.415,1457.037,1457.096,1456.977,1456.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,107920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.26,14.22,14.2,3.69,3.66,0,10.45,10.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458.127,1457.883,1457.941,1457.857,1457.506,1457.566,1457.677,1456.995,1457.063,1456.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,107960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,11.25,9.34,0.27,0,15.18,15.31,15.35,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457.927,1457.732,1457.652,1457.452,1457.667,1456.843,1456.839,1456.858,1456.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,108000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,11.58,11.24,9.91,0.44,0,14.92,15.16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457.987,1457.626,1457.601,1457.524,1457.217,1457.505,1456.801,1456.844,1456.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,108040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.22,14.03,14.01,0,12.56,12.86,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457.759,1457.607,1457.499,1457.548,1457.339,1456.774,1456.775,1456.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
