Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/6/2024 8:45:25 AM,,,,
,,,,
,,,,
Alignment Name: massir asli d10,,,,
Description:,,,,
"Station Range: Start: 0+000.00, End: 21+556.62",,,,
,,,,
Point,Station,Offset,Elevation,Description
6391,15+979.89,-3.964m,"1,121.598m",
6392,15+980.00,-3.323m,"1,121.597m",
6393,15+979.91,-2.453m,"1,121.682m",
6394,15+979.91,-1.548m,"1,121.761m",
6395,15+979.95,-0.731m,"1,121.639m",
6396,15+979.92,-0.311m,"1,121.715m",
6397,15+979.93,-0.038m,"1,121.694m",
6398,15+979.93,0.474m,"1,121.665m",
6399,15+979.96,0.899m,"1,121.662m",
6400,15+979.88,1.195m,"1,121.644m",
6401,15+979.84,1.796m,"1,121.683m",
6402,15+979.98,2.921m,"1,121.658m",
6403,15+980.09,4.014m,"1,121.659m",
6404,15+979.96,5.092m,"1,121.642m",
6405,15+979.94,5.905m,"1,121.605m",
6406,15+980.04,7.059m,"1,121.544m",
6407,15+980.04,7.631m,"1,121.541m",
6408,15+979.95,7.988m,"1,121.577m",
6409,15+979.87,8.285m,"1,121.600m",
6410,15+979.82,8.553m,"1,121.598m",
6411,15+979.99,9.318m,"1,121.489m",
6412,15+979.99,9.710m,"1,121.442m",
6413,15+979.86,10.728m,"1,121.512m",
6414,15+979.95,12.241m,"1,121.595m",
6415,15+979.89,13.987m,"1,121.568m",
6416,15+979.98,15.441m,"1,121.556m",
6417,15+960.03,-14.779m,"1,121.173m",
6418,15+959.98,-14.003m,"1,121.162m",
6419,15+960.02,-12.489m,"1,121.135m",
6420,15+960.03,-11.854m,"1,121.219m",
6421,15+959.96,-9.228m,"1,121.152m",
6422,15+960.08,-7.417m,"1,121.138m",
6423,15+959.90,-6.161m,"1,121.157m",
6424,15+960.05,-4.738m,"1,121.083m",
6425,15+959.96,-4.014m,"1,120.961m",
6426,15+960.04,-3.716m,"1,121.049m",
6427,15+959.97,-2.745m,"1,121.094m",
6428,15+959.83,-2.072m,"1,121.122m",
6429,15+960.04,-0.791m,"1,121.006m",
6430,15+959.94,-0.067m,"1,120.998m",
6431,15+960.09,1.356m,"1,121.022m",
6432,15+960.22,2.436m,"1,120.998m",
6433,15+960.02,3.155m,"1,121.021m",
6434,15+960.06,4.034m,"1,120.984m",
6435,15+960.06,4.863m,"1,120.947m",
6436,15+960.05,5.690m,"1,120.940m",
6437,15+960.12,6.183m,"1,120.923m",
6438,15+960.02,7.638m,"1,121.000m",
6439,15+960.01,8.563m,"1,120.903m",
6440,15+960.01,9.391m,"1,120.881m",
6441,15+960.01,10.123m,"1,120.896m",
6442,15+959.93,11.384m,"1,120.982m",
6443,15+960.06,13.002m,"1,120.985m",
6444,15+960.00,14.800m,"1,120.865m",
6445,15+939.91,-14.972m,"1,120.636m",
6446,15+939.94,-13.898m,"1,120.643m",
6447,15+939.94,-13.167m,"1,120.563m",
6448,15+940.01,-12.772m,"1,120.596m",
6449,15+940.08,-12.378m,"1,120.639m",
6450,15+940.09,-11.013m,"1,120.561m",
6451,15+940.10,-10.379m,"1,120.600m",
6452,15+939.89,-9.369m,"1,120.593m",
6453,15+939.91,-7.467m,"1,120.619m",
6454,15+939.85,-5.863m,"1,120.561m",
6455,15+940.01,-4.537m,"1,120.581m",
6456,15+939.98,-2.589m,"1,120.579m",
6457,15+940.04,-1.270m,"1,120.554m",
6458,15+940.01,-0.053m,"1,120.513m",
6459,15+939.80,0.956m,"1,120.505m",
6460,15+939.99,2.431m,"1,120.464m",
6461,15+939.94,3.207m,"1,120.253m",
6462,15+940.02,3.602m,"1,120.285m",
6463,15+939.81,4.515m,"1,120.284m",
6464,15+939.86,5.931m,"1,120.356m",
6465,15+939.95,7.594m,"1,120.333m",
6466,15+939.99,9.205m,"1,120.261m",
6467,15+939.93,10.078m,"1,120.228m",
6468,15+939.90,10.660m,"1,120.381m",
6469,15+939.95,12.077m,"1,120.355m",
6470,15+939.92,14.755m,"1,120.303m",
6471,15+919.95,-14.570m,"1,120.071m",
6472,15+919.75,-12.926m,"1,120.129m",
6473,15+919.98,-10.475m,"1,120.141m",
6474,15+919.92,-8.043m,"1,120.113m",
6475,15+920.00,-5.552m,"1,120.085m",
6476,15+920.13,-3.741m,"1,119.954m",
6477,15+920.09,-3.158m,"1,119.949m",
6478,15+920.04,-2.478m,"1,120.061m",
6479,15+919.97,-1.411m,"1,119.975m",
6480,15+920.12,0.012m,"1,120.010m",
6481,15+920.05,1.810m,"1,120.010m",
6482,15+920.09,4.980m,"1,119.984m",
6483,15+920.19,7.180m,"1,119.893m",
6484,15+920.01,8.532m,"1,119.851m",
6485,15+919.94,10.331m,"1,119.852m",
6486,15+919.99,13.210m,"1,119.783m",
6487,15+920.01,15.112m,"1,119.723m",
6488,15+900.09,-14.796m,"1,119.673m",
6489,15+899.94,-12.564m,"1,119.588m",
6490,15+899.86,-11.399m,"1,119.570m",
6491,15+899.95,-8.178m,"1,119.618m",
6492,15+900.16,-5.532m,"1,119.548m",
6493,15+900.03,-2.031m,"1,119.478m",
6494,15+900.05,-0.033m,"1,119.489m",
6495,15+900.06,1.966m,"1,119.461m",
6496,15+899.81,2.924m,"1,119.496m",
6497,15+899.87,3.416m,"1,119.457m",
6498,15+899.95,3.713m,"1,119.345m",
6499,15+900.00,4.399m,"1,119.280m",
6500,15+899.85,5.266m,"1,119.378m",
6501,15+899.89,6.049m,"1,119.433m",
6502,15+899.95,7.369m,"1,119.402m",
6503,15+899.93,9.219m,"1,119.405m",
6504,15+899.93,11.412m,"1,119.294m",
6505,15+900.07,13.760m,"1,119.318m",
6506,15+899.90,14.918m,"1,119.294m",
6507,15+879.99,-14.850m,"1,119.096m",
6508,15+880.11,-12.860m,"1,119.035m",
6509,15+880.03,-10.698m,"1,118.970m",
6510,15+879.98,-9.028m,"1,118.965m",
6511,15+880.03,-6.858m,"1,118.937m",
6512,15+880.11,-2.516m,"1,118.929m",
6513,15+879.95,-0.050m,"1,118.900m",
6514,15+880.15,3.618m,"1,118.930m",
6515,15+879.98,5.278m,"1,118.866m",
6516,15+880.14,6.528m,"1,118.758m",
6517,15+880.07,7.638m,"1,118.835m",
6518,15+880.07,11.355m,"1,118.880m",
6519,15+879.99,14.570m,"1,118.706m",
6520,15+879.77,15.113m,"1,118.722m",
6521,15+840.28,-14.657m,"1,118.029m",
6522,15+839.98,-11.952m,"1,118.006m",
6523,15+839.80,-9.238m,"1,117.980m",
6524,15+839.89,-6.878m,"1,117.978m",
6525,15+839.95,-3.902m,"1,117.924m",
6526,15+839.95,-2.044m,"1,117.762m",
6527,15+839.94,-0.991m,"1,117.826m",
6528,15+839.99,0.127m,"1,117.951m",
6529,15+839.78,2.405m,"1,117.792m",
6530,15+840.18,4.847m,"1,117.839m",
6531,15+839.91,7.058m,"1,117.790m",
6532,15+839.75,9.525m,"1,117.798m",
6533,15+840.03,11.836m,"1,117.623m",
6534,15+840.09,13.759m,"1,117.729m",
6535,15+840.08,14.935m,"1,117.696m",
6536,15+799.99,-15.121m,"1,116.957m",
6537,15+799.96,-13.699m,"1,116.890m",
6538,15+799.83,-11.849m,"1,117.029m",
6539,15+800.02,-8.059m,"1,116.898m",
6540,15+799.84,-3.363m,"1,116.824m",
6541,15+799.99,-0.009m,"1,116.856m",
6542,15+799.80,2.022m,"1,116.824m",
6543,15+799.91,3.082m,"1,116.850m",
6544,15+799.93,3.765m,"1,116.869m",
6545,15+799.98,7.671m,"1,116.742m",
6546,15+800.06,9.348m,"1,116.711m",
6547,15+800.02,10.894m,"1,116.777m",
6548,15+799.73,12.547m,"1,116.707m",
6549,15+800.18,15.177m,"1,116.628m",
6550,15+759.96,-14.887m,"1,115.869m",
6551,15+760.12,-13.515m,"1,115.857m",
6552,15+759.92,-12.413m,"1,115.848m",
6553,15+760.10,-10.357m,"1,115.847m",
6554,15+760.17,-9.609m,"1,115.890m",
6555,15+760.08,-8.129m,"1,115.873m",
6556,15+760.11,-4.906m,"1,115.835m",
6557,15+760.09,-3.606m,"1,115.865m",
6558,15+760.12,-3.048m,"1,115.629m",
6559,15+760.08,-2.554m,"1,115.634m",
6560,15+760.16,-1.806m,"1,115.751m",
6561,15+760.03,0.167m,"1,115.834m",
6562,15+760.21,2.100m,"1,115.819m",
6563,15+760.12,4.509m,"1,115.695m",
6564,15+759.97,6.729m,"1,115.632m",
6565,15+760.17,7.485m,"1,115.597m",
6566,15+760.02,7.970m,"1,115.653m",
6567,15+760.05,8.406m,"1,115.721m",
6568,15+760.16,10.520m,"1,115.700m",
6569,15+760.01,12.740m,"1,115.671m",
6570,15+760.06,14.910m,"1,115.594m",
6571,15+739.93,-14.524m,"1,115.508m",
6572,15+740.07,-11.852m,"1,115.475m",
6573,15+739.99,-8.760m,"1,115.448m",
6574,15+739.85,-4.805m,"1,115.391m",
6575,15+740.08,-3.489m,"1,115.274m",
6576,15+740.16,-2.865m,"1,115.194m",
6577,15+740.02,-1.697m,"1,115.257m",
6578,15+740.09,0.104m,"1,115.211m",
6579,15+739.90,2.134m,"1,115.120m",
6580,15+739.78,2.932m,"1,115.144m",
6581,15+739.86,3.680m,"1,115.153m",
6582,15+740.01,4.248m,"1,115.068m",
6583,15+740.10,4.749m,"1,115.129m",
6584,15+739.88,5.292m,"1,115.102m",
6585,15+739.93,6.410m,"1,115.229m",
6586,15+739.99,7.282m,"1,115.242m",
6587,15+740.11,9.272m,"1,115.241m",
6588,15+740.17,13.983m,"1,115.129m",
6589,15+740.04,15.151m,"1,115.127m",
6590,15+720.12,-14.580m,"1,115.096m",
6591,15+719.88,-12.861m,"1,115.038m",
6592,15+720.05,-10.806m,"1,114.970m",
6593,15+720.02,-9.383m,"1,114.691m",
6594,15+720.03,-8.577m,"1,114.743m",
6595,15+719.98,-7.714m,"1,114.774m",
6596,15+719.99,-7.031m,"1,114.809m",
6597,15+719.94,-6.168m,"1,114.820m",
6598,15+719.97,-5.732m,"1,114.877m",
6599,15+720.04,-3.932m,"1,114.876m",
6600,15+720.17,-2.189m,"1,114.877m",
6601,15+720.03,0.031m,"1,114.829m",
6602,15+719.96,1.947m,"1,114.768m",
6603,15+719.79,3.732m,"1,114.782m",
6604,15+719.76,5.031m,"1,114.742m",
6605,15+720.01,5.976m,"1,114.778m",
6606,15+719.95,6.963m,"1,114.801m",
6607,15+719.80,8.254m,"1,114.716m",
6608,15+719.91,9.438m,"1,114.750m",
6609,15+719.80,11.165m,"1,114.721m",
6610,15+720.06,12.793m,"1,114.569m",
6611,15+719.99,13.903m,"1,114.567m",
6612,15+720.09,15.210m,"1,114.482m",
6613,15+699.99,-14.594m,"1,114.476m",
6614,15+699.90,-12.308m,"1,114.471m",
6615,15+699.81,-10.951m,"1,114.535m",
6616,15+699.78,-8.600m,"1,114.499m",
6617,15+699.82,-7.235m,"1,114.458m",
6618,15+700.02,-5.673m,"1,114.388m",
6619,15+700.03,-3.815m,"1,114.313m",
6620,15+700.13,-2.631m,"1,114.363m",
6621,15+700.11,-1.332m,"1,114.323m",
6622,15+700.09,-0.033m,"1,114.208m",
6623,15+700.04,0.595m,"1,114.089m",
6624,15+699.98,0.828m,"1,114.128m",
6625,15+699.99,1.399m,"1,114.337m",
6626,15+699.99,1.755m,"1,114.370m",
6627,15+700.10,4.064m,"1,114.352m",
6628,15+700.03,5.413m,"1,114.311m",
6629,15+699.94,6.428m,"1,114.332m",
6630,15+699.96,7.569m,"1,114.352m",
6631,15+700.04,9.283m,"1,114.323m",
6632,15+700.00,10.610m,"1,114.224m",
6633,15+700.01,12.343m,"1,114.106m",
6634,15+700.04,14.054m,"1,114.143m",
6635,15+700.00,15.025m,"1,114.173m",
6636,15+679.95,-14.867m,"1,114.004m",
6637,15+680.07,-13.048m,"1,113.989m",
6638,15+679.88,-11.408m,"1,113.979m",
6639,15+680.23,-10.677m,"1,114.060m",
6640,15+680.04,-9.036m,"1,113.956m",
6641,15+679.75,-8.189m,"1,113.907m",
6642,15+679.80,-7.792m,"1,113.856m",
6643,15+679.88,-6.527m,"1,114.101m",
6644,15+679.78,-4.960m,"1,113.968m",
6645,15+680.05,-3.131m,"1,113.923m",
6646,15+680.19,-1.626m,"1,113.852m",
6647,15+679.99,-1.010m,"1,113.722m",
6648,15+680.16,0.025m,"1,113.679m",
6649,15+680.10,0.965m,"1,113.727m",
6650,15+680.16,2.386m,"1,113.730m",
6651,15+679.90,3.944m,"1,113.805m",
6652,15+679.83,7.403m,"1,113.764m",
6653,15+679.75,9.838m,"1,113.769m",
6654,15+679.95,11.740m,"1,113.682m",
6655,15+679.92,14.571m,"1,113.599m",
6656,15+659.87,-14.683m,"1,113.511m",
6657,15+660.01,-13.335m,"1,113.415m",
6658,15+659.91,-12.948m,"1,113.426m",
6659,15+660.20,-12.614m,"1,113.513m",
6660,15+660.12,-11.360m,"1,113.474m",
6661,15+660.30,-10.483m,"1,113.387m",
6662,15+660.18,-9.783m,"1,113.356m",
6663,15+659.87,-8.779m,"1,113.406m",
6664,15+660.00,-8.298m,"1,113.369m",
6665,15+660.09,-7.191m,"1,113.496m",
6666,15+660.02,-6.250m,"1,113.533m",
6667,15+659.92,-4.683m,"1,113.565m",
6668,15+660.16,-2.227m,"1,113.487m",
6669,15+660.13,-0.576m,"1,113.474m",
6670,15+660.00,0.125m,"1,113.516m",
6671,15+660.15,1.472m,"1,113.509m",
6672,15+660.36,3.061m,"1,113.313m",
6673,15+660.13,5.328m,"1,113.258m",
6674,15+660.18,5.882m,"1,113.247m",
6675,15+660.09,7.136m,"1,113.251m",
6676,15+660.02,8.234m,"1,113.208m",
6677,15+659.88,10.429m,"1,113.144m",
6678,15+660.06,12.487m,"1,113.099m",
6679,15+660.29,13.761m,"1,113.090m",
6680,15+660.06,14.849m,"1,113.198m",
6681,15+619.95,-14.140m,"1,112.419m",
6682,15+620.06,-12.732m,"1,112.445m",
6683,15+620.05,-12.533m,"1,112.458m",
6684,15+620.10,-11.830m,"1,112.410m",
6685,15+620.16,-11.126m,"1,112.599m",
6686,15+619.96,-9.638m,"1,112.645m",
6687,15+620.12,-9.027m,"1,112.644m",
6688,15+620.23,-7.619m,"1,112.377m",
6689,15+620.06,-6.530m,"1,112.478m",
6690,15+620.00,-5.733m,"1,112.408m",
6691,15+619.69,-3.953m,"1,112.582m",
6692,15+619.86,-2.041m,"1,112.523m",
6693,15+619.83,0.058m,"1,112.491m",
6694,15+620.05,2.674m,"1,112.456m",
6695,15+619.78,5.357m,"1,112.402m",
6696,15+619.81,6.459m,"1,112.378m",
6697,15+619.60,9.647m,"1,112.357m",
6698,15+620.28,12.994m,"1,112.386m",
6699,15+620.03,15.278m,"1,112.351m",
6700,15+579.98,-14.917m,"1,111.624m",
6701,15+580.05,-13.735m,"1,111.629m",
6702,15+579.95,-12.626m,"1,111.590m",
6703,15+579.90,-11.452m,"1,111.610m",
6704,15+579.89,-10.367m,"1,111.601m",
6705,15+579.96,-8.220m,"1,111.539m",
6706,15+579.90,-6.746m,"1,111.571m",
6707,15+579.94,-5.537m,"1,111.614m",
6708,15+579.99,-3.935m,"1,111.573m",
6709,15+580.00,-2.757m,"1,111.568m",
6710,15+580.07,-1.908m,"1,111.606m",
6711,15+580.00,-1.400m,"1,111.630m",
6712,15+580.01,-0.615m,"1,111.649m",
6713,15+580.03,0.050m,"1,111.649m",
6714,15+579.94,0.920m,"1,111.624m",
6715,15+580.14,2.561m,"1,111.688m",
6716,15+579.98,3.154m,"1,111.643m",
6717,15+580.07,3.522m,"1,111.482m",
6718,15+579.97,4.120m,"1,111.423m",
6719,15+580.07,5.001m,"1,111.416m",
6720,15+580.05,6.207m,"1,111.391m",
6721,15+579.92,7.224m,"1,111.350m",
6722,15+579.92,7.737m,"1,111.334m",
6723,15+580.02,7.985m,"1,111.347m",
6724,15+579.99,8.465m,"1,111.433m",
6725,15+579.95,9.579m,"1,111.496m",
6726,15+579.92,11.357m,"1,111.430m",
6727,15+579.99,12.206m,"1,111.454m",
6728,15+580.02,13.143m,"1,111.437m",
6729,15+579.93,14.978m,"1,111.333m",
6730,15+540.00,-14.904m,"1,110.493m",
6731,15+539.95,-14.123m,"1,110.539m",
6732,15+539.99,-13.698m,"1,110.491m",
6733,15+539.85,-12.048m,"1,110.432m",
6734,15+539.92,-9.901m,"1,110.429m",
6735,15+539.75,-9.128m,"1,110.393m",
6736,15+539.99,-7.755m,"1,110.490m",
6737,15+540.01,-6.637m,"1,110.580m",
6738,15+540.08,-5.003m,"1,110.556m",
6739,15+540.05,-3.165m,"1,110.534m",
6740,15+540.17,-1.286m,"1,110.478m",
6741,15+539.97,-0.033m,"1,110.481m",
6742,15+540.12,2.663m,"1,110.509m",
6743,15+540.13,4.806m,"1,110.487m",
6744,15+540.02,6.155m,"1,110.445m",
6745,15+540.02,7.513m,"1,110.464m",
6746,15+540.05,9.355m,"1,110.435m",
6747,15+540.10,9.992m,"1,110.400m",
6748,15+539.99,11.222m,"1,110.398m",
6749,15+539.95,12.215m,"1,110.336m",
6750,15+539.88,12.904m,"1,110.375m",
6751,15+539.94,14.326m,"1,110.378m",
6752,15+539.92,15.019m,"1,110.386m",
6753,15+529.97,-13.297m,"1,110.333m",
6754,15+530.00,-11.001m,"1,110.409m",
6755,15+530.04,-9.219m,"1,110.373m",
6756,15+529.94,-7.657m,"1,110.374m",
6757,15+529.95,-5.122m,"1,110.383m",
6758,15+529.75,-2.963m,"1,110.187m",
6759,15+529.86,-2.322m,"1,110.079m",
6760,15+529.87,-1.085m,"1,110.036m",
6761,15+529.61,0.106m,"1,109.976m",
6762,15+529.53,0.402m,"1,109.998m",
6763,15+529.48,0.731m,"1,110.096m",
6764,15+529.46,1.030m,"1,110.280m",
6765,15+529.20,1.828m,"1,110.292m",
6766,15+529.00,3.867m,"1,110.177m",
6767,15+529.04,5.649m,"1,110.163m",
6768,15+529.07,7.039m,"1,110.240m",
6769,15+529.09,9.062m,"1,110.217m",
6770,15+529.74,11.940m,"1,110.241m",
6771,15+530.07,13.470m,"1,110.201m",
6772,15+529.52,16.270m,"1,110.027m",
6773,15+519.92,-15.010m,"1,110.021m",
6774,15+520.06,-13.432m,"1,110.040m",
6775,15+520.01,-12.258m,"1,109.992m",
6776,15+520.04,-11.260m,"1,109.936m",
6777,15+519.92,-10.816m,"1,109.920m",
6778,15+520.08,-10.111m,"1,109.992m",
6779,15+520.03,-8.877m,"1,110.120m",
6780,15+519.94,-7.888m,"1,110.154m",
6781,15+519.88,-5.689m,"1,110.129m",
6782,15+519.98,-3.450m,"1,110.131m",
6783,15+519.91,-1.071m,"1,110.106m",
6784,15+519.99,0.050m,"1,110.118m",
6785,15+520.06,1.352m,"1,110.051m",
6786,15+520.09,2.228m,"1,109.991m",
6787,15+520.09,2.741m,"1,109.768m",
6788,15+519.91,3.062m,"1,109.687m",
6789,15+519.97,3.639m,"1,109.683m",
6790,15+520.03,4.035m,"1,109.729m",
6791,15+519.94,4.572m,"1,109.763m",
6792,15+519.97,4.996m,"1,109.809m",
6793,15+520.04,5.273m,"1,109.953m",
6794,15+520.08,5.577m,"1,109.986m",
6795,15+520.02,7.443m,"1,109.987m",
6796,15+520.10,8.052m,"1,110.031m",
6797,15+520.10,9.862m,"1,109.943m",
6798,15+520.19,10.863m,"1,109.863m",
6799,15+520.12,11.432m,"1,109.811m",
6800,15+519.99,11.605m,"1,109.807m",
6801,15+519.93,12.053m,"1,109.959m",
6802,15+519.98,12.691m,"1,109.876m",
6803,15+519.98,13.535m,"1,109.901m",
6804,15+519.91,14.224m,"1,109.965m",
6805,15+519.89,15.038m,"1,109.929m",
6806,15+499.88,-14.916m,"1,109.820m",
6807,15+500.06,-13.639m,"1,109.840m",
6808,15+500.09,-12.870m,"1,109.775m",
6809,15+499.98,-11.842m,"1,109.707m",
6810,15+500.00,-10.422m,"1,109.740m",
6811,15+499.95,-8.930m,"1,109.717m",
6812,15+499.91,-8.319m,"1,109.640m",
6813,15+499.90,-7.668m,"1,109.450m",
6814,15+499.95,-7.281m,"1,109.513m",
6815,15+499.91,-6.670m,"1,109.590m",
6816,15+499.84,-5.525m,"1,109.536m",
6817,15+499.89,-3.412m,"1,109.460m",
6818,15+499.94,-2.949m,"1,109.442m",
6819,15+499.99,-2.638m,"1,109.425m",
6820,15+500.06,-2.404m,"1,109.519m",
6821,15+499.82,-1.768m,"1,109.506m",
6822,15+499.90,-0.688m,"1,109.540m",
6823,15+499.97,0.044m,"1,109.666m",
6824,15+499.97,0.619m,"1,109.678m",
6825,15+499.95,2.228m,"1,109.665m",
6826,15+499.82,3.561m,"1,109.668m",
6827,15+499.89,5.445m,"1,109.664m",
6828,15+499.79,6.321m,"1,109.656m",
6829,15+499.91,8.092m,"1,109.557m",
6830,15+499.89,9.548m,"1,109.530m",
6831,15+500.01,11.166m,"1,109.473m",
6832,15+499.93,12.388m,"1,109.544m",
6833,15+499.89,13.075m,"1,109.561m",
6834,15+499.84,13.839m,"1,109.539m",
6835,15+499.91,15.147m,"1,109.514m",
6836,15+480.14,-15.017m,"1,109.188m",
6837,15+480.17,-13.175m,"1,109.308m",
6838,15+480.07,-11.724m,"1,109.278m",
6839,15+480.04,-10.038m,"1,109.161m",
6840,15+480.14,-9.188m,"1,109.169m",
6841,15+480.23,-8.262m,"1,109.265m",
6842,15+480.16,-7.117m,"1,109.255m",
6843,15+480.13,-4.933m,"1,109.193m",
6844,15+480.12,-4.206m,"1,109.023m",
6845,15+480.16,-3.590m,"1,109.037m",
6846,15+480.07,-2.215m,"1,109.154m",
6847,15+480.13,-1.406m,"1,109.208m",
6848,15+480.02,-0.876m,"1,109.197m",
6849,15+480.10,0.203m,"1,109.195m",
6850,15+480.21,2.051m,"1,109.136m",
6851,15+480.19,3.507m,"1,109.123m",
6852,15+480.15,4.194m,"1,109.167m",
6853,15+480.14,4.922m,"1,109.134m",
6854,15+480.09,5.609m,"1,109.106m",
6855,15+480.01,6.332m,"1,109.011m",
6856,15+480.02,6.754m,"1,108.993m",
6857,15+480.02,7.829m,"1,109.108m",
6858,15+480.01,8.633m,"1,109.100m",
6859,15+480.06,9.595m,"1,109.102m",
6860,15+480.06,10.822m,"1,109.107m",
6861,15+480.17,12.094m,"1,109.082m",
6862,15+480.06,13.122m,"1,109.073m",
6863,15+480.06,14.848m,"1,109.015m",
6864,15+440.04,-15.005m,"1,108.243m",
6865,15+440.02,-14.252m,"1,108.347m",
6866,15+440.17,-13.367m,"1,108.435m",
6867,15+439.97,-11.720m,"1,108.463m",
6868,15+440.15,-10.171m,"1,108.409m",
6869,15+440.20,-7.844m,"1,108.346m",
6870,15+439.95,-5.809m,"1,108.199m",
6871,15+440.06,-5.228m,"1,108.139m",
6872,15+440.13,-4.832m,"1,108.216m",
6873,15+440.08,-4.111m,"1,108.167m",
6874,15+440.18,-3.349m,"1,108.132m",
6875,15+440.13,-3.021m,"1,108.099m",
6876,15+440.12,-2.781m,"1,108.173m",
6877,15+440.07,-2.513m,"1,108.268m",
6878,15+440.02,-1.731m,"1,108.280m",
6879,15+439.97,-0.105m,"1,108.281m",
6880,15+440.17,1.024m,"1,108.332m",
6881,15+440.14,1.957m,"1,108.294m",
6882,15+440.12,2.710m,"1,108.227m",
6883,15+440.20,3.711m,"1,108.209m",
6884,15+439.98,4.421m,"1,108.249m",
6885,15+440.04,5.782m,"1,108.292m",
6886,15+439.90,6.527m,"1,108.215m",
6887,15+440.13,7.176m,"1,108.234m",
6888,15+439.88,7.793m,"1,108.349m",
6889,15+440.13,9.499m,"1,108.291m",
6890,15+439.70,10.949m,"1,108.324m",
6891,15+439.93,12.503m,"1,108.231m",
6892,15+439.93,13.408m,"1,108.199m",
6893,15+439.92,14.554m,"1,108.204m",
6894,15+440.07,15.379m,"1,108.173m",
6895,15+400.13,-14.737m,"1,107.502m",
6896,15+400.12,-13.199m,"1,107.429m",
6897,15+400.13,-12.021m,"1,107.406m",
6898,15+400.28,-11.076m,"1,107.440m",
6899,15+400.06,-10.095m,"1,107.408m",
6900,15+400.19,-9.182m,"1,107.393m",
6901,15+400.10,-8.825m,"1,107.452m",
6902,15+400.18,-7.643m,"1,107.458m",
6903,15+400.15,-6.258m,"1,107.403m",
6904,15+400.11,-4.752m,"1,107.404m",
6905,15+400.08,-3.818m,"1,107.264m",
6906,15+400.21,-2.694m,"1,107.205m",
6907,15+400.21,-1.728m,"1,107.350m",
6908,15+400.22,-0.883m,"1,107.329m",
6909,15+400.00,0.098m,"1,107.304m",
6910,15+400.02,1.216m,"1,107.281m",
6911,15+400.30,2.954m,"1,107.283m",
6912,15+400.21,3.763m,"1,107.271m",
6913,15+400.14,4.844m,"1,107.249m",
6914,15+400.03,5.621m,"1,107.244m",
6915,15+400.13,6.443m,"1,107.268m",
6916,15+400.19,7.412m,"1,107.320m",
6917,15+399.98,8.333m,"1,107.281m",
6918,15+400.08,9.547m,"1,107.245m",
6919,15+399.92,10.652m,"1,107.276m",
6920,15+399.97,11.229m,"1,107.223m",
6921,15+400.06,11.717m,"1,107.047m",
6922,15+400.12,12.114m,"1,107.059m",
6923,15+400.11,13.259m,"1,107.167m",
6924,15+400.06,14.040m,"1,107.205m",
6925,15+400.06,14.945m,"1,107.227m",
6926,15+380.11,-14.927m,"1,107.164m",
6927,15+380.07,-12.055m,"1,107.110m",
6928,15+380.02,-9.085m,"1,107.100m",
6929,15+380.14,-5.715m,"1,107.043m",
6930,15+379.98,-2.461m,"1,107.060m",
6931,15+380.07,-0.895m,"1,106.960m",
6932,15+380.11,-0.015m,"1,106.684m",
6933,15+380.04,0.321m,"1,106.668m",
6934,15+379.95,0.949m,"1,106.729m",
6935,15+379.86,1.674m,"1,106.804m",
6936,15+379.92,2.993m,"1,106.830m",
6937,15+379.95,3.970m,"1,106.830m",
6938,15+379.95,5.432m,"1,106.762m",
6939,15+380.04,6.364m,"1,106.707m",
6940,15+380.11,6.758m,"1,106.732m",
6941,15+380.03,7.192m,"1,106.805m",
6942,15+380.14,8.564m,"1,106.824m",
6943,15+379.96,9.818m,"1,106.866m",
6944,15+380.21,11.979m,"1,106.839m",
6945,15+379.96,13.474m,"1,106.811m",
6946,15+380.15,15.046m,"1,106.710m",
6947,15+340.05,-14.967m,"1,106.238m",
6948,15+340.07,-13.849m,"1,106.195m",
6949,15+340.08,-13.064m,"1,106.145m",
6950,15+340.12,-11.402m,"1,106.028m",
6951,15+339.94,-10.509m,"1,105.974m",
6952,15+340.09,-9.956m,"1,105.931m",
6953,15+340.08,-9.444m,"1,105.930m",
6954,15+340.08,-8.931m,"1,105.948m",
6955,15+340.02,-8.422m,"1,106.002m",
6956,15+339.94,-7.673m,"1,106.040m",
6957,15+340.12,-5.791m,"1,106.025m",
6958,15+340.14,-5.246m,"1,106.036m",
6959,15+340.15,-4.401m,"1,106.058m",
6960,15+340.11,-2.955m,"1,106.076m",
6961,15+340.10,-1.417m,"1,106.063m",
6962,15+340.01,0.025m,"1,106.050m",
6963,15+339.98,1.291m,"1,106.040m",
6964,15+340.01,2.800m,"1,106.028m",
6965,15+340.04,4.190m,"1,106.016m",
6966,15+340.28,6.016m,"1,105.974m",
6967,15+340.02,7.146m,"1,105.918m",
6968,15+340.05,8.143m,"1,105.836m",
6969,15+340.11,9.112m,"1,105.891m",
6970,15+340.13,10.562m,"1,105.906m",
6971,15+340.04,12.004m,"1,105.958m",
6972,15+340.04,12.849m,"1,105.976m",
6973,15+340.09,14.391m,"1,106.007m",
6974,15+340.07,14.812m,"1,106.018m",
6975,15+300.07,-14.887m,"1,105.407m",
6976,15+299.89,-13.481m,"1,105.380m",
6977,15+300.25,-11.586m,"1,105.365m",
6978,15+300.11,-9.484m,"1,105.348m",
